[Trace]   DarkRiftServer        System Details:
[Info]    MMOServerPlugin       Spawned enemy 468
[Info]    MMOServerPlugin       Spawned enemy 469
[Info]    MMOServerPlugin       Spawned enemy 470
[Info]    MMOServerPlugin       Spawned enemy 471
[Info]    MMOServerPlugin       Spawned enemy 472
[Info]    MMOServerPlugin       Spawned enemy 473
[Info]    MMOServerPlugin       Spawned enemy 474
[Info]    MMOServerPlugin       Spawned enemy 475
[Info]    MMOServerPlugin       Spawned enemy 476
[Info]    MMOServerPlugin       Spawned enemy 477
[Info]    MMOServerPlugin       Spawned enemy 478
[Info]    MMOServerPlugin       Spawned enemy 479
[Info]    MMOServerPlugin       Spawned enemy 480
[Info]    MMOServerPlugin       Spawned enemy 481
[Info]    MMOServerPlugin       Spawned enemy 482
[Info]    MMOServerPlugin       Spawned enemy 483
[Info]    MMOServerPlugin       Spawned enemy 484
[Info]    MMOServerPlugin       Spawned enemy 485
[Info]    MMOServerPlugin       Spawned enemy 486
[Info]    MMOServerPlugin       Spawned enemy 487
[Info]    MMOServerPlugin       Spawned enemy 488
[Info]    MMOServerPlugin       Spawned enemy 489
[Info]    MMOServerPlugin       Spawned enemy 490
[Info]    MMOServerPlugin       Spawned enemy 491
[Info]    MMOServerPlugin       Spawned enemy 492
[Info]    MMOServerPlugin       Spawned enemy 493
[Info]    MMOServerPlugin       Spawned enemy 494
[Info]    MMOServerPlugin       Spawned enemy 495
[Info]    MMOServerPlugin       Spawned enemy 496
[Info]    MMOServerPlugin       Spawned enemy 497
[Info]    MMOServerPlugin       Spawned enemy 498
[Info]    MMOServerPlugin       Spawned enemy 499
[Info]    MMOServerPlugin       Spawned enemy 500
[Info]    MMOServerPlugin       Spawned enemy 501
[Info]    MMOServerPlugin       Spawned enemy 502
[Info]    MMOServerPlugin       Spawned enemy 503
[Info]    MMOServerPlugin       Spawned enemy 504
[Info]    MMOServerPlugin       Spawned enemy 505
[Info]    MMOServerPlugin       Spawned enemy 506
[Info]    MMOServerPlugin       Spawned enemy 507
[Info]    MMOServerPlugin       Spawned enemy 508
[Info]    MMOServerPlugin       Spawned enemy 509
[Info]    MMOServerPlugin       Spawned enemy 510
[Info]    MMOServerPlugin       Spawned enemy 511
[Info]    MMOServerPlugin       Spawned enemy 512
[Info]    MMOServerPlugin       Spawned enemy 513
[Info]    MMOServerPlugin       Spawned enemy 514
[Info]    MMOServerPlugin       Spawned enemy 515
[Info]    MMOServerPlugin       Spawned enemy 516
[Info]    MMOServerPlugin       Spawned enemy 517
[Info]    MMOServerPlugin       Spawned enemy 518
[Info]    MMOServerPlugin       Spawned enemy 519
