[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Launching server... 
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59794.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:55287.
[Info]    ClientManager         New client [0] connected [127.0.0.1:59794|127.0.0.1:55287].
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59841.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:61013.
[Info]    ClientManager         New client [7] connected [127.0.0.1:59841|127.0.0.1:61013].
[Info]    MMOServerPlugin       Welcome adventurer, 7
[Info]    MMOServerPlugin       Goodbye adventurer, 7
[Info]    ClientManager         Client [7] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59848.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:60210.
[Info]    ClientManager         New client [8] connected [127.0.0.1:59848|127.0.0.1:60210].
[Info]    MMOServerPlugin       Welcome adventurer, 8
[Info]    MMOServerPlugin       Goodbye adventurer, 8
[Info]    ClientManager         Client [8] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59863.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:60369.
[Info]    ClientManager         New client [9] connected [127.0.0.1:59863|127.0.0.1:60369].
[Info]    MMOServerPlugin       Welcome adventurer, 9
[Info]    MMOServerPlugin       Goodbye adventurer, 9
[Info]    ClientManager         Client [9] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59871.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:61028.
[Info]    ClientManager         New client [10] connected [127.0.0.1:59871|127.0.0.1:61028].
[Info]    MMOServerPlugin       Welcome adventurer, 10
[Info]    MMOServerPlugin       Goodbye adventurer, 10
[Info]    ClientManager         Client [10] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59882.
